sample_id,row_index,video_id,query,video_path,duration_sec,raw_start,raw_end,clipped_start,clipped_end,was_clipped,fps,frame_count
charades_sta_smoke_0,0,3MSZA,person turn a light on.,data/raw/charades/videos/3MSZA.mp4,31.0,24.3,30.4,24.3,30.4,False,30.0,930.0
charades_sta_smoke_1,1,3MSZA,person flipped the light switch near the door.,data/raw/charades/videos/3MSZA.mp4,31.0,24.3,30.4,24.3,30.4,False,30.0,930.0
charades_sta_smoke_2,2,3MSZA,person turn the light switch on.,data/raw/charades/videos/3MSZA.mp4,31.0,24.3,30.4,24.3,30.4,False,30.0,930.0
charades_sta_smoke_3,3,3MSZA,person is playing with the switch for the light.,data/raw/charades/videos/3MSZA.mp4,31.0,24.3,30.4,24.3,30.4,False,30.0,930.0
charades_sta_smoke_4,4,AMT7R,a person is putting a picture onto the wall.,data/raw/charades/videos/AMT7R.mp4,30.11241970021413,4.3,12.5,4.3,12.5,False,29.888,900.0
charades_sta_smoke_5,5,YVKIV,the person puts down the bag.,data/raw/charades/videos/YVKIV.mp4,31.95337620578778,4.4,9.2,4.4,9.2,False,29.856,954.0
charades_sta_smoke_6,6,VXJS4,a person walks through the doorway.,data/raw/charades/videos/VXJS4.mp4,30.259462351210377,0.0,3.4,0.0,3.4,False,29.908,905.0
charades_sta_smoke_7,7,VXJS4,a person opens the door.,data/raw/charades/videos/VXJS4.mp4,30.259462351210377,0.0,4.0,0.0,4.0,False,29.908,905.0
charades_sta_smoke_8,8,GBD1Y,person closes the door.,data/raw/charades/videos/GBD1Y.mp4,32.916666666666664,26.2,31.3,26.2,31.3,False,24.0,790.0
charades_sta_smoke_9,9,GBD1Y,person closing the door.,data/raw/charades/videos/GBD1Y.mp4,32.916666666666664,26.2,31.3,26.2,31.3,False,24.0,790.0
charades_sta_smoke_10,10,KVXJ9,person runs up the stairs.,data/raw/charades/videos/KVXJ9.mp4,30.766666666666666,1.0,11.0,1.0,11.0,False,30.0,923.0
